Upisni broj,Smjer,Bodovi iz škole,Bodovi s državne mature,Bodovi ukupno
26455,Menadzment-IZV,466,210.4700012,"676,5"
175,Menadzment-IZV,389,225.7899933,"614,8"
16547,Menadzment-IZV,342,262.3800049,"604,4"
18311,Menadzment-IZV,447,155.4799957,"602,5"
21328,Menadzment-IZV,437,161.7299957,"598,7"
11384,Menadzment-IZV,407,189.5299988,"596,5"
23478,Menadzment-IZV,411,184.0700073,"595,1"
5432,Menadzment-IZV,372,223.1300049,"595,1"
15489,Menadzment-IZV,386,205.7799988,"591,8"
21960,Menadzment-IZV,361,227.6600037,"588,7"
23193,Menadzment-IZV,350,234.8500061,"584,9"
12527,Menadzment-IZV,400,183.5899963,"583,6"
13916,Menadzment-IZV,371,207.8099976,"578,8"
11608,Menadzment-IZV,395,179.5299988,"574,5"
9364,Menadzment-IZV,387,184.5299988,"571,5"
4999,Menadzment-IZV,326,244.8099976,"570,8"
6568,Menadzment-IZV,380,190.1600037,"570,2"
4384,Menadzment-IZV,343,224.0599976,"567,1"
12753,Menadzment-IZV,356,209.8399963,"565,8"
26005,Menadzment-IZV,356,209.6900024,"565,7"
14480,Menadzment-IZV,365,200.3200073,"565,3"
5872,Menadzment-IZV,352,213.1300049,"565,1"
5718,Menadzment-IZV,408,156.8899994,"564,9"
20777,Menadzment-IZV,353,207.0299988,560
20438,Menadzment-IZV,369,189.0700073,"558,1"
12132,Menadzment-IZV,313,244.1000061,"557,1"
6723,Menadzment-IZV,341,208.9700012,550
9769,Menadzment-IZV,317,231.25,"548,3"
10646,Menadzment-IZV,379,166.1000061,"545,1"
3972,Menadzment-IZV,308,236.5599976,"544,6"
10084,Menadzment-IZV,385,157.0399933,542
4963,Menadzment-IZV,344,197.5099945,"541,5"
3029,Menadzment-IZV,367,174.3800049,"541,4"
18558,Menadzment-IZV,342,199.1300049,"541,1"
19592,Menadzment-IZV,300,237.6900024,"537,7"
13207,Menadzment-IZV,295,241.5599976,"536,6"
14944,Menadzment-IZV,357,179.0700073,"536,1"
2949,Menadzment-IZV,339,195.6300049,"534,6"
20984,Menadzment-IZV,352,182.0399933,534
10361,Menadzment-IZV,318,213.4400024,"531,4"
6770,Menadzment-IZV,347,182.8099976,"529,8"
19823,Menadzment-IZV,396,131.7200012,"527,7"
11144,Menadzment-IZV,322,199.75,"521,8"
18748,Menadzment-IZV,298,222.5599976,"520,6"
12723,Menadzment-IZV,326,194.3699951,"520,4"
24890,Menadzment-IZV,374,145,519
13964,Menadzment-IZV,372,143.5899963,"515,6"
4661,Menadzment-IZV,363,152.3399963,"515,3"
22804,Menadzment-IZV,320,193.5899963,"513,6"
6069,Menadzment-IZV,313,200.4600067,"513,5"
22585,Menadzment-IZV,319,192.1900024,"511,2"
21045,Menadzment-IZV,318,192.0299988,510
10759,Menadzment-IZV,321,188.2899933,"509,3"
1392,Menadzment-IZV,310,196.3800049,"506,4"
10177,Menadzment-IZV,294,211.4100037,"505,4"
12680,Menadzment-IZV,352,144.8500061,"496,9"
10944,Menadzment-IZV,328,167.6199951,"495,6"
6975,Menadzment-IZV,344,149.2299957,"493,2"
9477,Menadzment-IZV,280,211.25,"491,3"
8817,Menadzment-IZV,276,210.3099976,"486,3"
