Upisni broj,Smjer,Bodovi iz skole,Bodovi s drzavne mature,Bodovi ukupno
23347,Promet,516,317,833
18691,Promet,509,308,817
5005,Promet,518,276,794
20839,Promet,511,275,786
23248,Promet,484,297,781
13437,Promet,485,296,781
19532,Promet,509,269,778
20098,Promet,466,297,763
16149,Promet,517,234,751
29791,Promet,443,300,743
21415,Promet,497,246,743
19665,Promet,417,319,736
11761,Promet,427,307,734
27225,Promet,511,220,731
16999,Promet,448,282,730
11556,Promet,482,246,728
15752,Promet,435,292,727
26696,Promet,516,201,717
9809,Promet,512,205,717
14201,Promet,434,281,715
22812,Promet,509,205,714
14396,Promet,495,218,713
23852,Promet,496,216,712
3034,Promet,413,290,703
3211,Promet,427,275,702
15887,Promet,426,276,702
19735,Promet,420,281,701
12113,Promet,390,308,698
12009,Promet,445,252,697
25938,Promet,461,235,696
9915,Promet,394,302,696
7803,Promet,481,213,694
29327,Promet,462,232,694
2096,Promet,394,292,686
7723,Promet,503,180,683
9918,Promet,382,298,680
20467,Promet,419,259,678
3675,Promet,382,295,677
9456,Promet,391,285,676
10964,Promet,396,274,670
27883,Promet,384,281,665
12265,Promet,364,295,659
9048,Promet,338,320,658
28043,Promet,338,316,654
13622,Promet,380,271,651
23444,Promet,420,224,644
16698,Promet,344,299,643
1316,Promet,420,219,639
29476,Promet,437,201,638
26206,Promet,401,236,637
19421,Promet,437,199,636
27020,Promet,334,301,635
16972,Promet,392,243,635
3442,Promet,370,259,629
12993,Promet,418,207,625
17086,Promet,331,294,625
14115,Promet,434,190,624
12024,Promet,409,208,617
1502,Promet,348,268,616
20264,Promet,353,258,611
27803,Promet,318,292,610
6510,Promet,419,189,608
29526,Promet,344,261,605
7194,Promet,287,315,602
12978,Promet,323,277,600
4108,Promet,411,186,597
8404,Promet,382,215,597
2544,Promet,373,222,595
11151,Promet,348,245,593
26184,Promet,390,202,592
4420,Promet,401,189,590
1094,Promet,277,306,583
18204,Promet,273,308,581
18794,Promet,273,301,574
8774,Promet,314,257,571
9388,Promet,372,190,562
23484,Promet,334,226,560
7368,Promet,347,211,558
22885,Promet,292,265,557
9592,Promet,246,308,554
17744,Promet,272,276,548
2914,Promet,305,242,547
28703,Promet,243,298,541
5134,Promet,255,286,541
26269,Promet,231,305,536
17776,Promet,293,239,532
15231,Promet,309,221,530
28132,Promet,324,199,523
11045,Promet,255,260,515
11516,Promet,311,201,512
8611,Promet,226,283,509
22302,Promet,298,211,509
17493,Promet,284,222,506
9491,Promet,281,219,500
16234,Promet,271,224,495
18811,Promet,273,221,494
8949,Promet,294,198,492
20446,Promet,279,213,492
21757,Promet,304,184,488
15330,Promet,271,202,473
8514,Promet,267,204,471
9928,Promet,257,213,470
22463,Promet,241,219,460
27572,Promet,247,210,457
7309,Promet,253,196,449
17054,Promet,241,207,448
19688,Promet,238,198,436
6177,Promet,237,191,428
19335,Promet,228,200,428
8624,Promet,231,184,415
