Upisni broj,Smjer,Bodovi iz škole,Bodovi s državne mature,Bodovi ukupno
704,Racunarstvo-IZV,395,260.97,656
17619,Racunarstvo-IZV,359,173.6,"532,6"
20113,Racunarstvo-IZV,302,196.45,"498,5"
6468,Racunarstvo-IZV,324,161.72,"485,7"
6893,Racunarstvo-IZV,309,170.28,"479,3"
6188,Racunarstvo-IZV,284,180.16,"464,2"
4793,Racunarstvo-IZV,279,144.11,"423,1"
4202,Racunarstvo-IZV,296,120.47,"416,5"
12542,Racunarstvo-IZV,267,149.26,"416,3"
13126,Racunarstvo-IZV,270,121.87,"391,9"
1529,Racunarstvo-IZV,323,121,323
