Upisni broj,Smjer,Bodovi iz skole,Bodovi s drzavne mature,Bodovi ukupno
12320,Racunarstvo,382,250.7899933,"632,8"
4741,Racunarstvo,374,255.1300049,"629,1"
25512,Racunarstvo,436,190.0800018,"626,1"
24098,Racunarstvo,385,235.75,"620,8"
9326,Racunarstvo,428,188.8200073,"616,8"
18211,Racunarstvo,375,230.9600067,606
15626,Racunarstvo,383,222.0299988,605
21188,Racunarstvo,358,239.5299988,"597,5"
11524,Racunarstvo,379,216,595
567,Racunarstvo,438,149.1900024,"587,2"
7004,Racunarstvo,387,188.4499969,"575,5"
14243,Racunarstvo,374,201.25,"575,3"
27224,Racunarstvo,391,182.5399933,"573,5"
9983,Racunarstvo,414,159.4199982,"573,4"
1162,Racunarstvo,348,220.8099976,"568,8"
14544,Racunarstvo,377,190.7899933,"567,8"
11130,Racunarstvo,378,189.2299957,"567,2"
3927,Racunarstvo,381,186.1399994,"567,1"
18688,Racunarstvo,366,200.4299927,"566,4"
19650,Racunarstvo,369,197.3899994,"566,4"
23013,Racunarstvo,423,143.4400024,"566,4"
21207,Racunarstvo,335,230.1999969,"565,2"
21080,Racunarstvo,369,195.75,"564,8"
5250,Racunarstvo,356,207.5399933,"563,5"
16071,Racunarstvo,341,222.1999969,"563,2"
15552,Racunarstvo,366,196.7400055,"562,7"
20111,Racunarstvo,364,198.4100037,"562,4"
10622,Racunarstvo,350,210.7599945,"560,8"
8825,Racunarstvo,362,197.8300018,"559,8"
10977,Racunarstvo,352,207.2700043,"559,3"
13483,Racunarstvo,382,175.2100067,"557,2"
14545,Racunarstvo,364,192.5500031,"556,6"
12732,Racunarstvo,385,170.1600037,"555,2"
22488,Racunarstvo,347,207.5399933,"554,5"
5148,Racunarstvo,389,164.3800049,"553,4"
20778,Racunarstvo,359,193.9100037,"552,9"
1340,Racunarstvo,324,228.6300049,"552,6"
6597,Racunarstvo,397,155.2100067,"552,2"
3127,Racunarstvo,371,180.9900055,552
10215,Racunarstvo,373,178.7599945,"551,8"
14698,Racunarstvo,339,209.8500061,"548,9"
7130,Racunarstvo,356,192.8099976,"548,8"
266,Racunarstvo,395,150.9900055,546
24391,Racunarstvo,348,197.9600067,546
4619,Racunarstvo,355,189.7799988,"544,8"
21974,Racunarstvo,342,201.25,"543,3"
9334,Racunarstvo,383,160.2299957,"543,2"
8857,Racunarstvo,391,152.0399933,543
20875,Racunarstvo,343,199.9199982,"542,9"
12716,Racunarstvo,323,217.9799957,541
12835,Racunarstvo,305,235.75,"540,8"
3887,Racunarstvo,382,156.5599976,"538,6"
10133,Racunarstvo,354,184.3800049,"538,4"
27342,Racunarstvo,329,208.1300049,"537,1"
11553,Racunarstvo,324,210.6799927,"534,7"
22859,Racunarstvo,342,190.6999969,"532,7"
8713,Racunarstvo,320,209.3800049,"529,4"
6417,Racunarstvo,305,223.1199951,"528,1"
11216,Racunarstvo,304,223.5200043,"527,5"
11627,Racunarstvo,327,196.6199951,"523,6"
