Upisni broj,Smjer,Bodovi iz skole,Bodovi s drzavne mature,Bodovi ukupno
22918,Sestrinstvo,500,316,816
15418,Sestrinstvo,481,319,800
26975,Sestrinstvo,515,284,799
13489,Sestrinstvo,481,317,798
23303,Sestrinstvo,510,270,780
21981,Sestrinstvo,492,287,779
21020,Sestrinstvo,500,270,770
25286,Sestrinstvo,463,299,762
19850,Sestrinstvo,458,298,756
7269,Sestrinstvo,434,317,751
13030,Sestrinstvo,445,305,750
22423,Sestrinstvo,504,233,737
25502,Sestrinstvo,448,289,737
28442,Sestrinstvo,434,300,734
10131,Sestrinstvo,480,252,732
2030,Sestrinstvo,455,275,730
21002,Sestrinstvo,490,237,727
22950,Sestrinstvo,417,309,726
3354,Sestrinstvo,517,206,723
6477,Sestrinstvo,466,240,706
17658,Sestrinstvo,429,276,705
29631,Sestrinstvo,457,248,705
23685,Sestrinstvo,476,229,705
3505,Sestrinstvo,490,214,704
19445,Sestrinstvo,481,221,702
16358,Sestrinstvo,458,242,700
27778,Sestrinstvo,485,213,698
9875,Sestrinstvo,432,260,692
23480,Sestrinstvo,498,188,686
8288,Sestrinstvo,421,257,678
14377,Sestrinstvo,456,221,677
10409,Sestrinstvo,408,268,676
25647,Sestrinstvo,370,305,675
22536,Sestrinstvo,402,273,675
23617,Sestrinstvo,426,243,669
13776,Sestrinstvo,367,299,666
17145,Sestrinstvo,469,193,662
143,Sestrinstvo,433,226,659
4301,Sestrinstvo,448,204,652
17554,Sestrinstvo,359,292,651
139,Sestrinstvo,423,219,642
8027,Sestrinstvo,378,264,642
28334,Sestrinstvo,366,276,642
15595,Sestrinstvo,399,241,640
23661,Sestrinstvo,369,270,639
18762,Sestrinstvo,371,258,629
6710,Sestrinstvo,426,202,628
18807,Sestrinstvo,329,296,625
22424,Sestrinstvo,303,319,622
22694,Sestrinstvo,307,315,622
9210,Sestrinstvo,309,313,622
7436,Sestrinstvo,438,182,620
19200,Sestrinstvo,408,208,616
7929,Sestrinstvo,409,206,615
3583,Sestrinstvo,318,292,610
15177,Sestrinstvo,368,242,610
17746,Sestrinstvo,335,274,609
28176,Sestrinstvo,293,305,598
15127,Sestrinstvo,345,253,598
22153,Sestrinstvo,287,306,593
18240,Sestrinstvo,335,258,593
24056,Sestrinstvo,369,222,591
25217,Sestrinstvo,338,251,589
20214,Sestrinstvo,340,248,588
532,Sestrinstvo,279,303,582
4200,Sestrinstvo,370,209,579
12808,Sestrinstvo,292,285,577
21015,Sestrinstvo,292,283,575
21165,Sestrinstvo,264,309,573
7906,Sestrinstvo,309,264,573
8921,Sestrinstvo,366,207,573
13939,Sestrinstvo,342,230,572
22586,Sestrinstvo,255,312,567
8050,Sestrinstvo,301,264,565
18759,Sestrinstvo,278,286,564
24702,Sestrinstvo,239,318,557
16318,Sestrinstvo,344,210,554
6924,Sestrinstvo,372,180,552
8981,Sestrinstvo,262,287,549
25282,Sestrinstvo,339,204,543
20435,Sestrinstvo,279,262,541
18035,Sestrinstvo,263,276,539
7465,Sestrinstvo,316,220,536
17280,Sestrinstvo,257,279,536
8264,Sestrinstvo,235,300,535
1053,Sestrinstvo,224,309,533
29552,Sestrinstvo,237,296,533
8573,Sestrinstvo,316,216,532
22834,Sestrinstvo,268,264,532
17321,Sestrinstvo,332,198,530
16830,Sestrinstvo,324,200,524
5668,Sestrinstvo,303,220,523
3012,Sestrinstvo,232,290,522
7058,Sestrinstvo,286,233,519
10725,Sestrinstvo,316,195,511
18709,Sestrinstvo,306,198,504
3874,Sestrinstvo,239,264,503
24218,Sestrinstvo,302,201,503
12437,Sestrinstvo,319,183,502
2372,Sestrinstvo,294,207,501
17813,Sestrinstvo,267,233,500
14971,Sestrinstvo,272,212,484
6748,Sestrinstvo,263,217,480
18551,Sestrinstvo,254,212,466
896,Sestrinstvo,240,225,465
6200,Sestrinstvo,225,234,459
19398,Sestrinstvo,229,228,457
5783,Sestrinstvo,273,180,453
2964,Sestrinstvo,255,190,445
27208,Sestrinstvo,227,187,414
